,technology,count
0,5G,1121
1,充电桩,1070
2,车联网,1026
3,轻量化,636
4,纯电动乘用车,527
5,控制器,444
6,三元锂电池,411
7,充电站,395
8,磷酸铁锂,381
9,激光雷达,359
10,电池回收,316
11,V2X,307
12,磷酸铁锂电池,303
13,共享汽车,293
14,永磁同步电机,267
15,胎压监测,247
16,热管理,244
17,无线充电,237
18,语音控制,236
19,毫米波雷达,193
20,电堆,180
21,电解液,149
22,高精度地图,134
23,固态电池,125
24,催化剂,114
25,电池梯次利用,109
26,三元材料,108
27,储能电池,97
28,插电式混合动力乘用车,92
29,负极材料,86
30,软包电池,85
31,复合材料,80
32,锰酸锂电池,78
33,逆变器,77
34,高精度定位,75
35,轮毂电机,73
36,超声波雷达,72
37,电机控制器,70
38,域控制器,69
39,燃料电池乘用车,61
40,质子交换膜,60
41,V2V,59
42,执行器,56
43,方形电池,55
44,圆柱电池,55
45,纯电动专用车,54
46,燃料电池商用车,52
47,电动助力转向,51
48,多传感器融合,49
49,纯电动商用车,48
50,双极板,47
51,增程器,46
52,整车控制器,36
53,储氢罐,36
54,高级驾驶辅助系统（ADAS）,36
55,测试设备,35
56,高压线束,31
57,V2I,28
58,车载操作系统,28
59,电池管理系统（BMS）,27
60,热泵空调,26
61,热泵空调,26
62,线控转向,24
63,车载充电机,23
64,智能驾驶舱,23
65,交流异步电机,21
66,AIoT,19
67,车载摄像头,18
68,智驾互联,18
69,插电式混合动力商用车,16
70,惯性导航,16
71,手势识别,16
72,三元前驱体,15
73,空气压缩机,15
74,TSP,15
75,锂电设备,14
76,硅碳负极,13
77,石墨负极,11
78,气体扩散层,11
79,V2P,11
80,无钴材料,10
81,电动转向,10
82,T-Box,10
83,铝塑膜,9
84,钴酸锂电池,8
85,高压零部件,8
86,燃料电池驱动系统,8
87,车载人机交互,8
88,完全自动驾驶系统,8
89,湿法隔膜,7
90,DC/DC变换器,7
91,薄膜电容,7
92,氢气循环泵,7
93,燃料电池控制系统,7
94,系统芯片,6
95,换电设备,5
96,加氢设备,5
97,边缘智能,5
98,极耳,4
99,CMOS传感器,4
100,干法隔膜,3
101,永磁材料,3
102,电动刹车,3
103,定位传感器,3
104,三元811电池,2
105,石墨烯电池,2
106,混合动力控制系统,2
107,IGBT电控,2
108,插电式混合动力专用车,2
109,液态储氢,2
110,流量传感器,2
111,智能仪表盘,2
112,V2R,2
113,电动空调系统,1
114,高压配电盒,1
115,燃料电池热管理系统,1
116,固态储氢,1
117,感知芯片,1
118,抬头显示HUD,1
119,锂电铜箔,0
120,三元NCA电池,0
121,三元622电池,0
122,三元523电池,0
123,SiC电控,0
124,铝合金铸件,0
125,镁合金铸件,0
126,汽车碳纤维,0
127,充电整体解决方案,0
128,增程式混合动力商用车,0
129,燃料电池特种车,0
130,电堆附件,0
131,有机物液态体储氢,0
132,车姿传感器,0
133,RTK差分,0
134,有条件自动驾驶系统,0
135,高度自动驾驶系统,0
136,智能车载信息娱乐系统,0
137,流媒体中央后视镜,0
