,technology,count
0,充电桩,4329
1,车联网,2247
2,充电站,2211
3,纯电动乘用车,1331
4,控制器,1131
5,磷酸铁锂,1117
6,磷酸铁锂电池,682
7,5G,662
8,电解液,634
9,胎压监测,605
10,三元材料,564
11,三元锂电池,539
12,无线充电,498
13,插电式混合动力乘用车,462
14,负极材料,447
15,复合材料,441
16,电池回收,389
17,储能电池,331
18,纯电动商用车,308
19,催化剂,285
20,激光雷达,224
21,插电式混合动力商用车,203
22,热管理,198
23,纯电动专用车,191
24,电动助力转向,186
25,语音控制,169
26,逆变器,163
27,电机控制器,162
28,执行器,153
29,V2X,153
30,永磁同步电机,151
31,测试设备,144
32,锂电设备,135
33,高精度地图,120
34,整车控制器,116
35,毫米波雷达,114
36,V2V,112
37,共享汽车,103
38,燃料电池乘用车,103
39,轮毂电机,89
40,电池梯次利用,82
41,系统芯片,77
42,锰酸锂电池,76
43,湿法隔膜,71
44,手势识别,70
45,V2I,69
46,石墨烯电池,65
47,车载充电机,62
48,固态电池,60
49,换电设备,60
50,TSP,60
51,软包电池,54
52,圆柱电池,54
53,电动转向,54
54,电堆,54
55,电池管理系统（BMS）,52
56,钴酸锂电池,49
57,储氢罐,48
58,增程器,46
59,极耳,42
60,质子交换膜,41
61,石墨负极,40
62,三元前驱体,39
63,铝塑膜,38
64,车载摄像头,36
65,高精度定位,36
66,车载操作系统,34
67,干法隔膜,32
68,硅碳负极,28
69,方形电池,28
70,高级驾驶辅助系统（ADAS）,28
71,交流异步电机,25
72,燃料电池商用车,24
73,超声波雷达,24
74,CMOS传感器,22
75,永磁材料,20
76,锂电铜箔,19
77,薄膜电容,18
78,线控转向,18
79,高压线束,17
80,汽车碳纤维,16
81,空气压缩机,15
82,多传感器融合,14
83,智能驾驶舱,14
84,双极板,12
85,惯性导航,12
86,域控制器,10
87,插电式混合动力专用车,10
88,V2P,10
89,燃料电池控制系统,8
90,流量传感器,8
91,定位传感器,7
92,热泵空调,6
93,热泵空调,6
94,充电整体解决方案,6
95,车载人机交互,6
96,电动刹车,4
97,铝合金铸件,4
98,镁合金铸件,4
99,加氢设备,4
100,智能车载信息娱乐系统,4
101,DC/DC变换器,3
102,高压零部件,3
103,气体扩散层,3
104,完全自动驾驶系统,3
105,抬头显示HUD,3
106,智能仪表盘,3
107,混合动力控制系统,2
108,高压配电盒,2
109,高度自动驾驶系统,2
110,V2R,2
111,电动空调系统,1
112,氢气循环泵,1
113,燃料电池驱动系统,1
114,T-Box,1
115,无钴材料,0
116,三元811电池,0
117,三元NCA电池,0
118,三元622电池,0
119,三元523电池,0
120,SiC电控,0
121,IGBT电控,0
122,增程式混合动力商用车,0
123,燃料电池特种车,0
124,电堆附件,0
125,燃料电池热管理系统,0
126,液态储氢,0
127,固态储氢,0
128,有机物液态体储氢,0
129,车姿传感器,0
130,RTK差分,0
131,感知芯片,0
132,有条件自动驾驶系统,0
133,流媒体中央后视镜,0
134,边缘智能,0
135,AIoT,0
136,智驾互联,0
